Trial #,Failure Mode,Total Cost,Time to Objective,Num Comms
332,No Failure,2769.00,651,159
333,Out of Time,4538.00,1000,537
334,No Failure,1885.00,456,54
335,No Failure,2091.00,508,49
336,No Failure,63.00,13,0
337,No Failure,883.00,218,0
338,Out of Time,4488.00,1000,485
339,No Failure,4227.00,948,427
340,No Failure,927.00,231,0
341,No Failure,495.00,121,0
342,No Failure,267.00,64,0
343,No Failure,1805.00,443,26
344,No Failure,4535.00,999,500
345,No Failure,951.00,235,0
346,No Failure,2627.00,617,151
347,Out of Time,4530.00,1000,529
348,No Failure,383.00,94,0
349,No Failure,959.00,238,0
350,No Failure,2315.00,556,80
351,No Failure,483.00,118,0
352,Drones got Stuck,3338.00,772,245
353,No Failure,2283.00,545,92
354,No Failure,495.00,120,0
355,No Failure,427.00,105,0
356,No Failure,2817.00,650,208
357,No Failure,1351.00,336,0
358,No Failure,531.00,130,0
359,No Failure,2739.00,642,160
360,No Failure,859.00,212,0
361,No Failure,1295.00,321,0
362,No Failure,1059.00,263,0
363,No Failure,1455.00,361,0
364,No Failure,1007.00,250,0
365,No Failure,287.00,69,0
366,Out of Time,4346.00,1000,342
367,No Failure,95.00,22,0
368,Out of Time,4536.00,1000,534
369,Out of Time,4346.00,1000,346
370,Out of Time,4508.00,1000,505
371,No Failure,1455.00,362,0
372,No Failure,99.00,22,0
373,No Failure,867.00,214,0
374,No Failure,523.00,129,0
375,Out of Time,4458.00,1000,454
376,No Failure,1875.00,466,0
377,No Failure,259.00,62,0
378,No Failure,619.00,153,0
379,No Failure,339.00,82,0
380,No Failure,1447.00,360,0
381,No Failure,795.00,196,0
382,Out of Time,4436.00,1000,436
383,Out of Time,4400.00,1000,397
384,No Failure,1371.00,341,0
385,No Failure,4085.00,927,370
386,No Failure,1619.00,400,9
387,No Failure,4105.00,911,451
388,No Failure,875.00,216,0
389,No Failure,143.00,33,0
390,No Failure,2779.00,657,145
391,Out of Time,4560.00,1000,557
392,No Failure,395.00,97,0
393,No Failure,243.00,59,0
394,No Failure,687.00,169,0
395,No Failure,1051.00,260,0
396,No Failure,2223.00,533,81
397,No Failure,675.00,167,0
398,No Failure,2925.00,665,252
399,Out of Time,4560.00,1000,558
400,No Failure,3737.00,867,263
401,No Failure,1131.00,280,0
402,No Failure,195.00,46,0
403,No Failure,43.00,8,0
404,No Failure,167.00,39,0
405,No Failure,99.00,22,0
406,Out of Time,4370.00,1000,369
407,No Failure,431.00,106,0
408,No Failure,271.00,66,0
409,No Failure,351.00,86,0
410,No Failure,1555.00,387,0
411,No Failure,183.00,43,0
412,No Failure,1239.00,307,0
413,No Failure,31.00,5,0
414,No Failure,1295.00,321,0
415,No Failure,115.00,26,0
416,No Failure,327.00,79,0
417,No Failure,619.00,152,0
418,No Failure,887.00,219,0
419,No Failure,3603.00,820,313
420,No Failure,1259.00,313,0
421,No Failure,4123.00,931,392
422,No Failure,539.00,132,0
423,No Failure,1641.00,405,14
424,No Failure,383.00,94,0
425,No Failure,2527.00,612,68
426,No Failure,47.00,10,0
427,No Failure,319.00,78,0
428,No Failure,1531.00,380,0
429,No Failure,815.00,201,0
430,No Failure,967.00,239,0
431,No Failure,251.00,60,0
432,Out of Time,4396.00,1000,393
433,No Failure,271.00,65,0
434,No Failure,1163.00,289,0
435,No Failure,1483.00,369,0
436,Out of Time,4442.00,1000,441
437,No Failure,479.00,117,0
438,No Failure,27.00,4,0
439,No Failure,219.00,53,0
440,No Failure,4359.00,977,443
441,No Failure,1083.00,268,0
442,Drones got Stuck,3046.00,691,278
443,Out of Time,4502.00,1000,501
444,No Failure,1555.00,385,4
445,No Failure,1255.00,311,0
446,No Failure,847.00,210,0
447,No Failure,119.00,28,0
448,No Failure,2621.00,616,149
449,No Failure,1583.00,393,5
450,No Failure,131.00,30,0
451,No Failure,403.00,98,0
452,No Failure,2129.00,509,86
453,Out of Time,4394.00,1000,391
454,No Failure,503.00,124,0
455,No Failure,363.00,89,0
456,Out of Time,4394.00,1000,394
457,No Failure,2277.00,545,87
458,No Failure,943.00,234,0
459,No Failure,747.00,184,0
460,No Failure,75.00,16,0
461,No Failure,599.00,148,0
462,No Failure,351.00,85,0
463,No Failure,667.00,164,0
464,No Failure,1151.00,285,0
465,No Failure,1007.00,249,0
466,No Failure,2297.00,558,55
467,No Failure,1143.00,283,0
468,No Failure,91.00,21,0
469,No Failure,3227.00,744,247
470,No Failure,1175.00,291,0
471,No Failure,2503.00,588,141
472,No Failure,535.00,131,0
473,No Failure,751.00,185,0
474,No Failure,755.00,187,0
475,Drones got Stuck,2948.00,685,203
476,No Failure,735.00,181,0
477,No Failure,467.00,114,0
478,No Failure,1431.00,355,0
479,No Failure,567.00,140,0
480,No Failure,2685.00,626,173
481,No Failure,79.00,19,0
482,No Failure,2225.00,532,87
483,No Failure,1857.00,454,30
484,Out of Time,4432.00,1000,429
485,No Failure,1919.00,472,20
486,No Failure,275.00,66,0
487,No Failure,507.00,124,0
488,Out of Time,4394.00,1000,394
489,No Failure,1027.00,254,0
490,No Failure,899.00,222,0
491,No Failure,119.00,27,0
492,No Failure,479.00,118,0
493,No Failure,1303.00,323,0
494,No Failure,1367.00,339,0
495,No Failure,755.00,186,0
496,No Failure,731.00,180,0
497,No Failure,799.00,198,0
498,No Failure,1467.00,365,0
