Trial #,Failure Mode,Total Cost,Time to Objective,Num Comms
378,Drones got Stuck,644.00,150,11
379,Drones got Stuck,480.00,94,25
380,No Failure,575.00,138,4
381,No Failure,387.00,91,2
382,Out of Time,1208.00,300,4
383,No Failure,447.00,109,0
384,Out of Time,1240.00,300,12
385,Drones got Stuck,360.00,68,21
386,Drones got Stuck,184.00,35,10
387,No Failure,199.00,47,0
388,Drones got Stuck,748.00,129,61
389,Drones got Stuck,432.00,89,18
390,Drones got Stuck,1188.00,224,73
391,Budget runs out,1280.00,292,50
392,Budget runs out,1284.00,292,54
393,Drones got Stuck,620.00,130,24
394,Drones got Stuck,192.00,29,18
395,No Failure,339.00,83,0
396,Out of Time,1228.00,300,14
397,No Failure,383.00,94,0
398,Out of Time,1220.00,300,7
399,Out of Time,1272.00,300,24
400,No Failure,227.00,55,0
401,Out of Time,1248.00,300,21
402,Drones got Stuck,1092.00,257,17
403,Drones got Stuck,860.00,195,20
404,Drones got Stuck,580.00,116,44
405,Budget runs out,1280.00,287,36
406,Budget runs out,1284.00,298,26
407,No Failure,487.00,116,0
408,No Failure,347.00,84,0
409,No Failure,355.00,87,0
410,Drones got Stuck,284.00,52,18
411,No Failure,1171.00,287,4
412,No Failure,759.00,187,2
413,Out of Time,1264.00,300,19
414,No Failure,731.00,180,2
415,Drones got Stuck,904.00,207,19
416,No Failure,407.00,100,0
417,Drones got Stuck,852.00,169,44
418,Drones got Stuck,924.00,200,31
419,Drones got Stuck,340.00,70,19
420,No Failure,948.00,231,7
421,Drones got Stuck,836.00,168,61
422,No Failure,571.00,141,0
423,Out of Time,1208.00,300,4
424,No Failure,907.00,224,2
425,No Failure,863.00,214,2
426,No Failure,499.00,122,0
427,Drones got Stuck,1236.00,295,15
428,No Failure,924.00,221,11
429,Out of Time,1208.00,300,4
430,No Failure,695.00,170,0
431,No Failure,775.00,191,2
432,No Failure,439.00,107,0
433,Drones got Stuck,1084.00,238,36
434,No Failure,1131.00,278,4
435,No Failure,719.00,177,3
436,Out of Time,1280.00,300,22
437,Out of Time,1228.00,300,13
438,Out of Time,1268.00,300,19
439,No Failure,759.00,186,2
440,Drones got Stuck,340.00,65,32
441,Out of Time,1208.00,300,4
442,Out of Time,1252.00,300,15
443,No Failure,339.00,83,0
444,Budget runs out,1284.00,292,31
445,Drones got Stuck,848.00,157,87
446,Drones got Stuck,856.00,186,28
447,Drones got Stuck,996.00,222,37
448,Out of Time,1220.00,300,7
449,Out of Time,1260.00,300,17
450,Drones got Stuck,208.00,41,10
451,Drones got Stuck,748.00,156,30
452,Drones got Stuck,980.00,227,18
453,Out of Time,1240.00,300,12
454,No Failure,863.00,211,4
455,No Failure,551.00,135,0
456,Drones got Stuck,1084.00,249,33
457,Drones got Stuck,744.00,174,20
458,No Failure,831.00,205,2
459,Drones got Stuck,1076.00,213,63
460,Drones got Stuck,480.00,99,20
